	Kingdom	Phylum	Class	Order	Family	Genus
ASV_15987	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_15988	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	NA
ASV_15989	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Floricoccus
ASV_15990	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ASV_15991	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium
ASV_15992	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_15993	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium
ASV_15994	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	NA
ASV_15995	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Intestinibacter
ASV_15996	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia
ASV_15997	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	NA
ASV_15998	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA
ASV_15999	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Pontibacter
ASV_16000	Bacteria	NA	NA	NA	NA	NA
